# time	AE	std
1981-01-15 00:00	122.083333	132.396610
1981-01-16 00:00	188.500000	114.484858
1981-01-17 00:00	91.833333	67.138188
1981-01-18 00:00	159.375000	154.523338
1981-01-19 00:00	35.125000	17.693803
1981-01-20 00:00	72.291667	50.994867
1981-01-21 00:00	61.000000	55.526727
1981-01-22 00:00	55.000000	43.584002
1981-01-23 00:00	161.375000	114.212926
1981-01-24 00:00	170.000000	134.441518
1981-01-25 00:00	105.208333	79.340751
1981-01-26 00:00	150.791667	109.432520
1981-01-27 00:00	148.833333	137.862460
1981-01-28 00:00	178.791667	121.034303
1981-01-29 00:00	269.041667	118.493984
1981-01-30 00:00	172.083333	103.988259
1981-01-31 00:00	240.875000	236.918866
1981-02-01 00:00	161.875000	110.229923
1981-02-02 00:00	200.208333	109.766939
1981-02-03 00:00	288.333333	191.609809
1981-02-04 00:00	142.708333	111.914750
1981-02-05 00:00	314.666667	231.592909
1981-02-06 00:00	307.041667	246.073068
1981-02-07 00:00	503.625000	361.611467
1981-02-08 00:00	37.750000	8.921152
1981-02-09 00:00	309.000000	192.000906
1981-02-10 00:00	65.583333	100.768748
1981-02-11 00:00	40.333333	17.276943
1981-02-12 00:00	245.416667	164.390023
1981-02-13 00:00	106.833333	66.176094
1981-02-14 00:00	80.375000	70.619502
1981-02-15 00:00	51.166667	32.650543
1981-02-16 00:00	275.250000	190.218696
1981-02-17 00:00	95.166667	79.839876
1981-02-18 00:00	89.958333	78.996686
1981-02-19 00:00	94.333333	54.936063
1981-02-20 00:00	66.125000	86.828823
1981-02-21 00:00	183.666667	166.414273
1981-02-22 00:00	45.416667	42.624668
1981-02-23 00:00	126.375000	147.635807
1981-02-24 00:00	60.250000	33.255598
1981-02-25 00:00	453.166667	187.380261
1981-02-26 00:00	404.458333	126.264381
1981-02-27 00:00	407.458333	166.812047
1981-02-28 00:00	252.333333	143.305289
1981-03-01 00:00	315.500000	180.990271
1981-03-02 00:00	420.125000	235.727424
1981-03-03 00:00	159.291667	191.083974
1981-03-04 00:00	320.083333	142.581149
1981-03-05 00:00	288.333333	309.053065
1981-03-06 00:00	376.083333	373.285054
1981-03-07 00:00	126.125000	166.199804
1981-03-08 00:00	358.333333	313.332809
1981-03-09 00:00	85.625000	93.534375
1981-03-10 00:00	97.583333	144.847421
1981-03-11 00:00	131.000000	93.567925
1981-03-12 00:00	102.875000	94.372671
1981-03-13 00:00	127.166667	88.266724
1981-03-14 00:00	413.416667	278.864455
1981-03-15 00:00	270.250000	228.915639
1981-03-16 00:00	248.375000	135.258790
1981-03-17 00:00	197.166667	154.329874
1981-03-18 00:00	319.916667	126.382070
1981-03-19 00:00	254.583333	187.889865
1981-03-20 00:00	190.958333	193.888018
1981-03-21 00:00	103.625000	128.968757
1981-03-22 00:00	132.250000	164.962776
1981-03-23 00:00	69.166667	38.446650
1981-03-24 00:00	62.375000	31.225425
1981-03-25 00:00	177.416667	192.607038
1981-03-26 00:00	371.333333	231.307938
1981-03-27 00:00	343.416667	222.166196
1981-03-28 00:00	220.833333	147.020160
1981-03-29 00:00	322.375000	156.962973
1981-03-30 00:00	306.166667	224.690447
1981-03-31 00:00	388.666667	197.012616
1981-04-01 00:00	406.791667	201.431179
1981-04-02 00:00	246.625000	208.268391
1981-04-03 00:00	170.000000	108.827346
1981-04-04 00:00	261.666667	161.120443
1981-04-05 00:00	121.250000	83.833297
1981-04-06 00:00	122.666667	93.580780
1981-04-07 00:00	99.416667	44.107494
1981-04-08 00:00	106.041667	51.726269
1981-04-09 00:00	218.291667	170.229890
1981-04-10 00:00	94.875000	37.780041
1981-04-11 00:00	110.125000	79.560375
1981-04-12 00:00	553.500000	277.150250
1981-04-13 00:00	629.125000	230.516492
1981-04-14 00:00	384.125000	180.838942
1981-04-15 00:00	161.541667	175.460135
1981-04-16 00:00	157.833333	162.475862
1981-04-17 00:00	305.083333	216.365415
1981-04-18 00:00	246.666667	223.429333
1981-04-19 00:00	277.125000	246.733673
1981-04-20 00:00	531.500000	274.252026
1981-04-21 00:00	606.666667	253.086627
1981-04-22 00:00	539.166667	166.161960
1981-04-23 00:00	548.958333	255.921775
1981-04-24 00:00	301.166667	199.227130
1981-04-25 00:00	442.333333	238.845350
1981-04-26 00:00	513.166667	240.618707
1981-04-27 00:00	803.333333	179.150815
1981-04-28 00:00	288.291667	232.164949
1981-04-29 00:00	348.083333	233.774123
1981-04-30 00:00	311.541667	263.826026
1981-05-01 00:00	154.416667	116.534345
1981-05-02 00:00	267.208333	180.880450
1981-05-03 00:00	142.083333	114.177938
1981-05-04 00:00	79.083333	26.383323
1981-05-05 00:00	85.125000	32.400097
1981-05-06 00:00	80.166667	23.024876
1981-05-07 00:00	101.208333	32.832883
1981-05-08 00:00	84.375000	37.354719
1981-05-09 00:00	391.750000	342.624049
1981-05-10 00:00	250.041667	125.332420
1981-05-11 00:00	737.750000	387.174744
1981-05-12 00:00	251.000000	217.131897
1981-05-13 00:00	380.875000	224.569794
1981-05-14 00:00	198.708333	182.120953
1981-05-15 00:00	519.208333	329.672826
1981-05-16 00:00	749.958333	163.291811
1981-05-17 00:00	478.333333	387.663533
1981-05-18 00:00	559.375000	326.979964
1981-05-19 00:00	491.291667	316.776629
1981-05-20 00:00	485.916667	235.628838
1981-05-21 00:00	447.750000	255.841026
1981-05-22 00:00	243.416667	171.928680
1981-05-23 00:00	279.208333	224.079951
1981-05-24 00:00	615.625000	166.290686
1981-05-25 00:00	554.000000	234.158252
1981-05-26 00:00	423.958333	215.118871
1981-05-27 00:00	104.791667	32.271914
1981-05-28 00:00	202.666667	173.867432
1981-05-29 00:00	170.458333	66.073726
1981-05-30 00:00	145.083333	44.765978
1981-05-31 00:00	200.458333	74.659796
1981-06-01 00:00	133.916667	49.197841
1981-06-02 00:00	193.708333	117.871145
1981-06-03 00:00	177.375000	138.335387
1981-06-04 00:00	245.791667	217.773911
1981-06-05 00:00	112.750000	58.266442
1981-06-06 00:00	167.333333	83.698562
1981-06-07 00:00	370.500000	186.664079
1981-06-08 00:00	327.666667	233.811642
1981-06-09 00:00	126.458333	109.448808
1981-06-10 00:00	75.000000	36.305467
1981-06-11 00:00	140.291667	78.357863
1981-06-12 00:00	166.125000	84.366340
1981-06-13 00:00	114.416667	63.785590
1981-06-14 00:00	99.083333	64.875075
1981-06-15 00:00	217.750000	104.042320
1981-06-16 00:00	328.000000	231.088163
1981-06-17 00:00	406.375000	189.766633
1981-06-18 00:00	138.875000	101.442343
1981-06-19 00:00	265.250000	135.515842
1981-06-20 00:00	326.375000	115.029604
1981-06-21 00:00	164.875000	91.989277
1981-06-22 00:00	63.791667	25.484828
1981-06-23 00:00	127.833333	77.997585
1981-06-24 00:00	130.333333	129.784995
1981-06-25 00:00	221.416667	163.739963
1981-06-26 00:00	361.166667	183.333070
1981-06-27 00:00	292.041667	155.559154
1981-06-28 00:00	310.291667	192.585944
1981-06-29 00:00	448.666667	389.270183
1981-06-30 00:00	259.000000	290.248020
1981-07-01 00:00	265.458333	193.211526
1981-07-02 00:00	401.708333	208.229489
1981-07-03 00:00	156.625000	117.738034
1981-07-04 00:00	241.041667	228.653617
1981-07-05 00:00	236.333333	150.266912
1981-07-06 00:00	381.416667	176.021964
1981-07-07 00:00	287.708333	212.536744
1981-07-08 00:00	297.541667	126.111400
1981-07-09 00:00	173.166667	77.827941
1981-07-10 00:00	165.166667	75.909366
1981-07-11 00:00	172.000000	130.523361
1981-07-12 00:00	272.083333	140.243241
1981-07-13 00:00	308.958333	236.355200
1981-07-14 00:00	189.833333	113.096983
1981-07-15 00:00	131.458333	114.313063
1981-07-16 00:00	165.875000	86.492177
1981-07-17 00:00	239.000000	237.352792
1981-07-18 00:00	455.416667	379.683039
1981-07-19 00:00	143.375000	81.717335
1981-07-20 00:00	154.750000	87.364927
1981-07-21 00:00	165.375000	165.995760
1981-07-22 00:00	194.291667	185.311366
1981-07-23 00:00	378.625000	197.275312
1981-07-24 00:00	423.666667	418.410935
1981-07-25 00:00	376.416667	375.921236
1981-07-26 00:00	894.583333	497.053660
1981-07-27 00:00	495.875000	241.504940
1981-07-28 00:00	248.166667	165.821451
1981-07-29 00:00	113.583333	77.479824
1981-07-30 00:00	173.291667	136.198218
1981-07-31 00:00	289.708333	119.204420
1981-08-01 00:00	413.541667	174.905932
1981-08-02 00:00	246.625000	141.293347
1981-08-03 00:00	399.958333	197.119138
1981-08-04 00:00	291.958333	136.816754
1981-08-05 00:00	177.791667	187.449003
1981-08-06 00:00	517.000000	199.107574
1981-08-07 00:00	275.583333	117.794558
1981-08-08 00:00	309.833333	255.959349
1981-08-09 00:00	111.208333	130.961322
1981-08-10 00:00	126.791667	55.567412
1981-08-11 00:00	107.541667	50.250658
1981-08-12 00:00	266.458333	169.181143
1981-08-13 00:00	182.791667	65.454252
1981-08-14 00:00	201.041667	121.643985
1981-08-15 00:00	160.708333	92.047001
1981-08-16 00:00	223.541667	199.095122
1981-08-17 00:00	248.125000	231.855336
1981-08-18 00:00	360.083333	172.982260
1981-08-19 00:00	350.250000	238.097943
1981-08-20 00:00	200.083333	139.418955
1981-08-21 00:00	183.333333	126.647977
1981-08-22 00:00	365.791667	206.263651
1981-08-23 00:00	399.916667	268.976792
1981-08-24 00:00	456.125000	340.461875
1981-08-25 00:00	353.875000	242.198681
1981-08-26 00:00	218.833333	185.657859
1981-08-27 00:00	187.666667	105.556359
1981-08-28 00:00	424.625000	148.566429
1981-08-29 00:00	405.041667	214.483501
1981-08-30 00:00	434.666667	198.972069
1981-08-31 00:00	219.833333	153.746450
1981-09-01 00:00	72.375000	26.894015
1981-09-02 00:00	311.250000	238.734389
1981-09-03 00:00	279.166667	253.449020
